origin,ori_ts,destination,des_ts,cost,k
10.0,1528292678.0,3.0,1528292316.0,0.47611019052511994,1.0
12.0,1528292678.0,1.0,1528293402.0,0.1843255307235506,1.0
12.0,1528292678.0,14.0,1528293764.0,0.029234695473784357,1.0
13.0,1528292678.0,6.0,1528293040.0,0.49820420870823623,1.0
14.0,1528292678.0,6.0,1528293040.0,0.37914617163006714,1.0
15.0,1528292678.0,16.0,1528293402.0,0.2528942608038816,1.0
2.0,1528292678.0,6.0,1528293040.0,0.1706853300649477,1.0
3.0,1528292678.0,9.0,1528292316.0,0.49576624726118895,1.0
4.0,1528292678.0,6.0,1528293040.0,0.031134830167570803,2.0
4.0,1528292678.0,16.0,1528293402.0,0.12422886173944604,1.0
15.0,1528293040.0,10.0,1528294126.0,0.019988268736182004,1.0
10.0,1528293402.0,6.0,1528294488.0,0.19234920241060946,1.0
11.0,1528293402.0,6.0,1528294126.0,0.2083200748815487,1.0
13.0,1528293402.0,3.0,1528294488.0,0.10813160440313949,2.0
13.0,1528293402.0,16.0,1528295211.0,0.01976046621486792,1.0
15.0,1528293402.0,11.0,1528294126.0,0.3655306100808774,1.0
15.0,1528293402.0,5.0,1528294126.0,0.03929511674844181,1.0
4.0,1528293402.0,7.0,1528293764.0,0.24990572019411278,1.0
6.0,1528293402.0,1.0,1528293764.0,0.25380056686421026,1.0
6.0,1528293402.0,15.0,1528293764.0,0.46484299350863423,1.0
8.0,1528293402.0,2.0,1528293764.0,0.37353442532166936,2.0
10.0,1528293764.0,8.0,1528294488.0,0.3158716824737475,1.0
16.0,1528293764.0,2.0,1528294488.0,0.21447535307922408,1.0
16.0,1528293764.0,8.0,1528294488.0,0.3700140615645927,1.0
3.0,1528293764.0,11.0,1528294126.0,0.46236878530989534,1.0
4.0,1528293764.0,8.0,1528293402.0,0.31432511217982106,1.0
12.0,1528294126.0,3.0,1528294849.0,0.08689985451018428,1.0
12.0,1528294126.0,16.0,1528295574.0,0.11928676825685688,1.0
16.0,1528294126.0,10.0,1528295574.0,0.008399839481300034,1.0
16.0,1528294126.0,13.0,1528295574.0,0.07002852212246724,1.0
3.0,1528294126.0,10.0,1528294849.0,0.1290471185874261,1.0
8.0,1528294126.0,16.0,1528295211.0,0.1475239302211016,1.0
9.0,1528294126.0,16.0,1528295211.0,0.1888905667599131,1.0
9.0,1528294126.0,16.0,1528295574.0,0.08247599938400539,1.0
10.0,1528294488.0,2.0,1528295211.0,0.015505448762028664,1.0
12.0,1528294488.0,6.0,1528293764.0,0.28432331979083264,1.0
9.0,1528294488.0,2.0,1528294849.0,0.4383560791342282,2.0
12.0,1528294849.0,14.0,1528295936.0,0.028340804769800734,1.0
4.0,1528294849.0,9.0,1528294488.0,0.47133415635328935,1.0
5.0,1528294849.0,1.0,1528295211.0,0.10626230029215102,1.0
6.0,1528294849.0,1.0,1528295211.0,0.25380056686421026,1.0
6.0,1528294849.0,2.0,1528295211.0,0.19184703137732037,1.0
11.0,1528295211.0,5.0,1528295936.0,0.02975507003160996,1.0
11.0,1528295211.0,6.0,1528296298.0,0.18861336823723285,1.0
12.0,1528295211.0,15.0,1528295936.0,0.3953173374613004,1.0
3.0,1528295211.0,15.0,1528295574.0,0.13010970682540363,1.0
3.0,1528295211.0,7.0,1528295574.0,0.2987892040581368,1.0
8.0,1528295211.0,2.0,1528295574.0,0.3718038574358176,1.0
9.0,1528295211.0,5.0,1528295574.0,0.13527986679022078,1.0
4.0,1528295574.0,1.0,1528295936.0,0.17584005976645603,1.0
8.0,1528295574.0,1.0,1528295936.0,0.4114156104937117,1.0
1.0,1528295936.0,8.0,1528295574.0,0.46277729299117293,1.0
11.0,1528295936.0,4.0,1528296660.0,0.09210836514298039,1.0
11.0,1528295936.0,9.0,1528297022.0,0.08711495542750507,1.0
15.0,1528295936.0,4.0,1528295574.0,0.2759275927592759,1.0
5.0,1528295936.0,8.0,1528295574.0,0.10028805694530397,1.0
1.0,1528296298.0,7.0,1528295936.0,0.42402087526551524,1.0
12.0,1528296298.0,6.0,1528297384.0,0.07351502031375108,1.0
14.0,1528296298.0,9.0,1528297022.0,0.18860096426482087,1.0
3.0,1528296298.0,7.0,1528295936.0,0.30072091423979486,1.0
4.0,1528296298.0,9.0,1528297022.0,0.06026058393412326,1.0
8.0,1528296298.0,4.0,1528296660.0,0.18842633175427706,1.0
8.0,1528296298.0,11.0,1528297384.0,0.04575515848101663,1.0
3.0,1528296660.0,9.0,1528297022.0,0.49576624726118895,1.0
4.0,1528296660.0,8.0,1528296298.0,0.31432511217982106,1.0
15.0,1528297022.0,2.0,1528297384.0,0.3839430368545016,1.0
15.0,1528297022.0,3.0,1528297384.0,0.434257431622509,1.0
2.0,1528297022.0,7.0,1528297384.0,0.33636186977293303,1.0
2.0,1528297022.0,13.0,1528297989.0,0.023785511442505847,1.0
3.0,1528297022.0,13.0,1528297989.0,0.004405048407753119,2.0
1.0,1528297384.0,5.0,1528297748.0,0.011206613957984897,2.0
1.0,1528297384.0,13.0,1528297989.0,0.4364638619643845,1.0
10.0,1528297384.0,3.0,1528297989.0,0.12443830184446843,1.0
10.0,1528297384.0,6.0,1528298351.0,0.06169583676893127,1.0
12.0,1528297384.0,6.0,1528298351.0,0.04411692021786621,1.0
15.0,1528297384.0,6.0,1528298351.0,0.1421875904330273,1.0
7.0,1528297384.0,4.0,1528297022.0,0.25914707772406703,1.0
11.0,1528297748.0,3.0,1528298351.0,0.1319856799229583,1.0
16.0,1528297748.0,4.0,1528298351.0,0.17948243439261294,1.0
16.0,1528297748.0,12.0,1528299437.0,0.06619633667816402,1.0
5.0,1528297748.0,9.0,1528297384.0,0.313208843002183,1.0
8.0,1528297748.0,3.0,1528297989.0,0.49670561455168166,1.0
12.0,1528297989.0,14.0,1528298713.0,0.3528231303158562,1.0
4.0,1528297989.0,6.0,1528297748.0,0.3549820278187419,2.0
5.0,1528297989.0,14.0,1528298351.0,0.39016275242123916,1.0
5.0,1528297989.0,16.0,1528299075.0,0.005437323573987177,1.0
7.0,1528297989.0,2.0,1528298351.0,0.4165280517839413,1.0
8.0,1528297989.0,10.0,1528299075.0,0.08003496687793314,1.0
4.0,1528298351.0,8.0,1528297989.0,0.31432511217982106,2.0
7.0,1528298351.0,4.0,1528298713.0,0.25914707772406703,1.0
